Year,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2016,449,0,5,586,90,0,233,146,0,110,17,125,62,0,0,298,30,144,51,271,122,0,549,85,18,561,3952
2017,434,0,0,628,73,0,250,98,9,100,30,150,22,0,0,212,53,122,50,280,154,0,480,78,42,648,3913
2018,365,0,0,602,93,0,183,115,0,95,25,204,39,0,0,220,41,138,26,252,105,0,383,74,28,585,3573
2019,415,0,6,510,98,0,194,141,0,77,13,177,33,0,0,224,21,129,40,217,120,0,337,60,13,657,3482
2020,388,0,0,521,88,0,191,154,0,87,46,181,36,0,0,192,58,141,11,240,152,0,278,77,33,667,3541
2021,425,0,13,523,70,0,252,129,0,77,16,150,33,0,0,188,33,118,42,215,139,0,332,76,29,619,3479
2022,37,0,0,51,7,0,45,14,0,11,0,17,0,0,0,13,0,20,0,19,8,0,32,17,0,58,349
